ID,OriginalID,Timestamp,Trial,counterbalance,phase_type,description_stop,paired_vid,onset,offset,description_content,importance,time,tag,vidpath,Datastring,data_set
Drun2M05_1656,debugig2RH:debugPPzYY,1698257216679,21,4,test,4,8,320.0,331,the little rock person (being turned into a glass for space ship glass/window) crashed into Saturn and there it found peace it was longing for.,7,78127,test_seg8_desc,/static/video/E/filmfest_clip8_E_7.mp4,"{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/E/filmfest_clip8_E_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""331"", ""content"": ""the little rock person (being turned into a glass for space ship glass/window) crashed into Saturn and there it found peace it was longing for."", ""importance"": ""7"", ""time"": 78127, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M05_216,debug5q8Yg:debugDTB8a,1698332496386,12,0,test,1,2,10.0,40,"There was a mountain with a big nose and 2 wide eyes. There was a dragonfly and then a green fish-type creature crawled onto a small rock out of the river and made a squawking noise. The mountain then fell asleep and time sped up. The trees grew, the dinosaurs evolved, there were 2 roaring at each other. then time fat forwards to the ice age and an Iceburg takes out the mountain.",6,183813,test_seg2_desc,/static/video/A/filmfest_clip8_A_1.mp4,"{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/A/filmfest_clip8_A_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""40"", ""content"": ""There was a mountain with a big nose and 2 wide eyes. There was a dragonfly and then a green fish-type creature crawled onto a small rock out of the river and made a squawking noise. The mountain then fell asleep and time sped up. The trees grew, the dinosaurs evolved, there were 2 roaring at each other. then time fat forwards to the ice age and an Iceburg takes out the mountain."", ""importance"": ""6"", ""time"": 183813, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_216,debug5q8Yg:debugDTB8a,1698332696063,15,0,test,2,4,100.0,130,soilders from around the 1500's came in and took the stone and made him into a canon ball. they shot the canon ball at their enemy ship and he broke one of the masts. he then lands in the ocean,6,73824,test_seg4_desc,/static/video/A/filmfest_clip8_A_3.mp4,"{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/A/filmfest_clip8_A_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""130"", ""content"": ""soilders from around the 1500's came in and took the stone and made him into a canon ball. they shot the canon ball at their enemy ship and he broke one of the masts. he then lands in the ocean"", ""importance"": ""6"", ""time"": 73824, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_216,debug5q8Yg:debugDTB8a,1698332937076,18,0,test,3,6,190.0,220,the fossil is swept up by the janitor but is accidentally thrown from the bin into the street. He's picked up by a man with some flowers and thrown through a window. the fossil hits a man on the head and flies out the other window after bouncing off of a piano. he rolls out onto a shop ledge and rolls onto the street and gets caught in some cars and he is slowly ground away.,5,130708,test_seg6_desc,/static/video/A/filmfest_clip8_A_5.mp4,"{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/A/filmfest_clip8_A_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""220"", ""content"": ""the fossil is swept up by the janitor but is accidentally thrown from the bin into the street. He's picked up by a man with some flowers and thrown through a window. the fossil hits a man on the head and flies out the other window after bouncing off of a piano. he rolls out onto a shop ledge and rolls onto the street and gets caught in some cars and he is slowly ground away."", ""importance"": ""5"", ""time"": 130708, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_216,debug5q8Yg:debugDTB8a,1698333148202,21,0,test,4,8,280.0,310,the piece of glass is shot of into space. the rocket falls away and reveals a new space satellite which the glass is the face of. a man in the control room pushes a button and the satellite shoots off and hits into floating rubble in space which damages it and redirects the satellite to crash land on a planet. ,5,103598,test_seg8_desc,/static/video/A/filmfest_clip8_A_7.mp4,"{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/A/filmfest_clip8_A_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""310"", ""content"": ""the piece of glass is shot of into space. the rocket falls away and reveals a new space satellite which the glass is the face of. a man in the control room pushes a button and the satellite shoots off and hits into floating rubble in space which damages it and redirects the satellite to crash land on a planet. "", ""importance"": ""5"", ""time"": 103598, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M05_516,debugE1hxV:debug2aYBU,1701964514897,12,5,test,1,2,60.0,90,"The rock stood up and walked into the forest. He laid down on another rock. Humans came and attached a rope around him, then dragged him off. They put him on a cart and he went to some buildings. They chipped away at him and used him as a millstone. ",6,58877,test_seg2_desc,/static/video/F/filmfest_clip8_F_1.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip8_F_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""90"", ""content"": ""The rock stood up and walked into the forest. He laid down on another rock. Humans came and attached a rope around him, then dragged him off. They put him on a cart and he went to some buildings. They chipped away at him and used him as a millstone. "", ""importance"": ""6"", ""time"": 58877, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_516,debugE1hxV:debug2aYBU,1701964675866,15,5,test,2,4,150.0,180,"The rock walks into a garden and tries to sleep on a glove. A man picks him up, dusts him off and turns him over. Inside the rock is a fossil. The rock is then pictured in a museum with other fossils. People look at him and take photos. ",5,54437,test_seg4_desc,/static/video/F/filmfest_clip8_F_3.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip8_F_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""180"", ""content"": ""The rock walks into a garden and tries to sleep on a glove. A man picks him up, dusts him off and turns him over. Inside the rock is a fossil. The rock is then pictured in a museum with other fossils. People look at him and take photos. "", ""importance"": ""5"", ""time"": 54437, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_516,debugE1hxV:debug2aYBU,1701964829628,18,5,test,3,6,240.0,270,The rock is now a tiny grain of sand on the beach. He tries to rest again. He is picked up by a digger and taken to a factory. He is poured into some boiling metal. He then appears again as glass. ,5,43889,test_seg6_desc,/static/video/F/filmfest_clip8_F_5.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip8_F_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""270"", ""content"": ""The rock is now a tiny grain of sand on the beach. He tries to rest again. He is picked up by a digger and taken to a factory. He is poured into some boiling metal. He then appears again as glass. "", ""importance"": ""5"", ""time"": 43889, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_516,debugE1hxV:debug2aYBU,1701964986579,21,5,test,4,8,330.0,331,"The most recent part was just blank and nothing happened? But before that the rock went into space as part of a satellite, then crashed and became a mountain again over time. ",1,55507,test_seg8_desc,/static/video/F/filmfest_clip8_F_7.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip8_F_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""331"", ""content"": ""The most recent part was just blank and nothing happened? But before that the rock went into space as part of a satellite, then crashed and became a mountain again over time. "", ""importance"": ""1"", ""time"": 55507, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M05_2151,debugvvvBY:debug4eqk1,1702480375324,12,5,test,1,2,60.0,90,"the rock is woken up by people building behind it. it decides to go  into the forest and sleep there but people come and pick it up, process it and turn it into a mill stone.",6,48828,test_seg2_desc,/static/video/F/filmfest_clip8_F_1.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip8_F_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""90"", ""content"": ""the rock is woken up by people building behind it. it decides to go  into the forest and sleep there but people come and pick it up, process it and turn it into a mill stone."", ""importance"": ""6"", ""time"": 48828, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_2151,debugvvvBY:debug4eqk1,1702480556451,15,5,test,2,4,150.0,180,"the rock is tired and falls asleep on a glove, but soon after, a geologist finds it and picks it up. He takes it excitedly, as he discovers a fossil on its back. The rock is then exposed in a natural history museum where people are looking at it.",6,78274,test_seg4_desc,/static/video/F/filmfest_clip8_F_3.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip8_F_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""180"", ""content"": ""the rock is tired and falls asleep on a glove, but soon after, a geologist finds it and picks it up. He takes it excitedly, as he discovers a fossil on its back. The rock is then exposed in a natural history museum where people are looking at it."", ""importance"": ""6"", ""time"": 78274, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_2151,debugvvvBY:debug4eqk1,1702480696806,18,5,test,3,6,240.0,270,"the rock tries to go to sleep again but is picked up by an excavator, transported to a factory where along with the sand, it gets turned into glass.",5,37324,test_seg6_desc,/static/video/F/filmfest_clip8_F_5.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip8_F_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""270"", ""content"": ""the rock tries to go to sleep again but is picked up by an excavator, transported to a factory where along with the sand, it gets turned into glass."", ""importance"": ""5"", ""time"": 37324, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_2151,debugvvvBY:debug4eqk1,1702480783900,21,5,test,4,8,330.0,331,"nothing, the movie ended",1,13211,test_seg8_desc,/static/video/F/filmfest_clip8_F_7.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip8_F_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""331"", ""content"": ""nothing, the movie ended"", ""importance"": ""1"", ""time"": 13211, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M05_1774,debuglzhpW:debugbBDqt,1702480573714,12,0,test,1,2,10.0,40,"A big rock that overlooks the area falls asleep and sleeps through various stages in time, and it shows dinosaurs and other features in the time slept.",7,59846,test_seg2_desc,/static/video/A/filmfest_clip8_A_1.mp4,"{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/A/filmfest_clip8_A_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""40"", ""content"": ""A big rock that overlooks the area falls asleep and sleeps through various stages in time, and it shows dinosaurs and other features in the time slept."", ""importance"": ""7"", ""time"": 59846, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_1774,debuglzhpW:debugbBDqt,1702480768678,15,0,test,2,4,100.0,130,A group of american soldiers takes the rock with a face from the mill.  They then grind the rock with a face into a cannonball.   Then the soldiers fire the cannonball from a cannon when fighting.,6,88359,test_seg4_desc,/static/video/A/filmfest_clip8_A_3.mp4,"{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/A/filmfest_clip8_A_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""130"", ""content"": ""A group of american soldiers takes the rock with a face from the mill.  They then grind the rock with a face into a cannonball.   Then the soldiers fire the cannonball from a cannon when fighting."", ""importance"": ""6"", ""time"": 88359, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_1774,debuglzhpW:debugbBDqt,1702480964606,18,0,test,3,6,190.0,220,"the rock with a face, gets knocked into a cleaning bin, then emptied out onto the street.  A man on the street picks up the rock and throws it through a window and it flys onto the next window and onto the street.  At which points when it lands it ends up being eaten up by a car engine.",7,86919,test_seg6_desc,/static/video/A/filmfest_clip8_A_5.mp4,"{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/A/filmfest_clip8_A_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""220"", ""content"": ""the rock with a face, gets knocked into a cleaning bin, then emptied out onto the street.  A man on the street picks up the rock and throws it through a window and it flys onto the next window and onto the street.  At which points when it lands it ends up being eaten up by a car engine."", ""importance"": ""7"", ""time"": 86919, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_1774,debuglzhpW:debugbBDqt,1702481136823,21,0,test,4,8,280.0,310,"After the rock is turned into glass, the rock becomes a part of a satellite which is launched and releases the satellite into space.  At which point the satellite uses its boosters and crash lands into a planet.",6,63305,test_seg8_desc,/static/video/A/filmfest_clip8_A_7.mp4,"{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/A/filmfest_clip8_A_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""310"", ""content"": ""After the rock is turned into glass, the rock becomes a part of a satellite which is launched and releases the satellite into space.  At which point the satellite uses its boosters and crash lands into a planet."", ""importance"": ""6"", ""time"": 63305, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M05_2161,debugw9OTp:debugOtNC4,1701965625515,12,3,test,1,2,40.0,70,The rock continues to go through time and the seasons and ends up asleep in a semi-modern day age. It is awoken slowly by a man on top of him cutting down a tree. He tries to go back to sleep. He is then awoken by a lot of noise; there is a group of men all chopping and building things out of wood in what looks like a community. The rock seems annoyed and gets up and starts to walk into the woods.,5,94484,test_seg2_desc,/static/video/D/filmfest_clip8_D_1.mp4,"{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/D/filmfest_clip8_D_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""70"", ""content"": ""The rock continues to go through time and the seasons and ends up asleep in a semi-modern day age. It is awoken slowly by a man on top of him cutting down a tree. He tries to go back to sleep. He is then awoken by a lot of noise; there is a group of men all chopping and building things out of wood in what looks like a community. The rock seems annoyed and gets up and starts to walk into the woods."", ""importance"": ""5"", ""time"": 94484, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_2161,debugw9OTp:debugOtNC4,1701965820605,15,3,test,2,4,130.0,160,"The rock falls in the sea, broken up into little pieces. He is being washed along the sea floor, although he tries to stop himself. He washes past fish and animals and ends up washed ashore of a stream. He gets up and starts walking. He walks past carts and horses, houses, bigger rocks, and ends up stopping once he finds a glove. He tries to curl up and close his eyes on the glove but a hand reaches down to grab him.",6,87734,test_seg4_desc,/static/video/D/filmfest_clip8_D_3.mp4,"{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/D/filmfest_clip8_D_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""160"", ""content"": ""The rock falls in the sea, broken up into little pieces. He is being washed along the sea floor, although he tries to stop himself. He washes past fish and animals and ends up washed ashore of a stream. He gets up and starts walking. He walks past carts and horses, houses, bigger rocks, and ends up stopping once he finds a glove. He tries to curl up and close his eyes on the glove but a hand reaches down to grab him."", ""importance"": ""6"", ""time"": 87734, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_2161,debugw9OTp:debugOtNC4,1701966042204,18,3,test,3,6,220.0,250,"The rock finds a piece of paper and tries to cover himself with it. However a steam roller comes along and flattens him, he breaks into pieces. Then someone comes along and sweeps him up, sweeps him along the street to the beach. He goes into the sand and finds himself with lots of other small rocks.",3,116793,test_seg6_desc,/static/video/D/filmfest_clip8_D_5.mp4,"{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/D/filmfest_clip8_D_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""250"", ""content"": ""The rock finds a piece of paper and tries to cover himself with it. However a steam roller comes along and flattens him, he breaks into pieces. Then someone comes along and sweeps him up, sweeps him along the street to the beach. He goes into the sand and finds himself with lots of other small rocks."", ""importance"": ""3"", ""time"": 116793, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_2161,debugw9OTp:debugOtNC4,1701966184337,21,3,test,4,8,310.0,331,"The seasons change and the rock seems to be big again. A lake forms and plants appear, with the rock a big mountain overlooking everything. He sighs and breathes a wind over the nature.",2,34526,test_seg8_desc,/static/video/D/filmfest_clip8_D_7.mp4,"{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/D/filmfest_clip8_D_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""331"", ""content"": ""The seasons change and the rock seems to be big again. A lake forms and plants appear, with the rock a big mountain overlooking everything. He sighs and breathes a wind over the nature."", ""importance"": ""2"", ""time"": 34526, ""tag"": ""test_seg8_desc""}",2023-2024 Run
