"","ID","Timestamp","Trial","counterbalance","phase","description_stop","paired_vid","onset","offset","description_content","importance","time","tag","vidpath","Datastring","test_trial"
"87","1011",1713887003451,"8","3","practice","1","2",12,33,"The ox on screen left says that the thing in the water is a croc but the other ox thinks it is a log.  The first ox throws a stone at it and nothing happens.  Then the ox hits it with a stick and nothing happens.  The ox then jumps on the thing in the water.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The ox on screen left says that the thing in the water is a croc but the other ox thinks it is a log.  The first ox throws a stone at it and nothing happens.  Then the ox hits it with a stick and nothing happens.  The ox then jumps on the thing in the water."", ""importance"": ""7"", ""time"": 66825, ""tag"": ""prac_segB_desc""}","description"
"95","1015",1702481169301,"8","4","practice","1","2",12,33,"Two cartoon Bison are standing at a rivers edge, look at an object in the water.\nSpeech bubbles appear over their heads as they are grunting to one another. They appear to be decided what the object is. One Bison thinks it's a log and a log drawing is shown in their speech bubble, the other thinks it's a Crocodile or Alligator so a drawing of an Alligator/ Crocodile appears in that speech bubble.\nThey continue to grunt-talk to each other, debating the identity of the object in the water.\nBison two, who thinks it's a Crocodile / Alligator throws and stone at the object. The object moves, the water ripples.\nBison two, then pokes the object with a stick. The object moves and the water ripples. We still don't know what the object is.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two cartoon Bison are standing at a rivers edge, look at an object in the water.\nSpeech bubbles appear over their heads as they are grunting to one another. They appear to be decided what the object is. One Bison thinks it's a log and a log drawing is shown in their speech bubble, the other thinks it's a Crocodile or Alligator so a drawing of an Alligator/ Crocodile appears in that speech bubble.\nThey continue to grunt-talk to each other, debating the identity of the object in the water.\nBison two, who thinks it's a Crocodile / Alligator throws and stone at the object. The object moves, the water ripples.\nBison two, then pokes the object with a stick. The object moves and the water ripples. We still don't know what the object is."", ""importance"": ""5"", ""time"": 247631, ""tag"": ""prac_segB_desc""}","description"
"103","1016",1715184012942,"8","3","practice","1","2",12,33,"The two wildebeests continued to argue whether the thing in the water is a crocodile or a log. The one who thinks it's a crocodile throw a rock at it, then splash water on it, then touch it with a branch. Finally it jumps on it. ",3,3,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two wildebeests continued to argue whether the thing in the water is a crocodile or a log. The one who thinks it's a crocodile throw a rock at it, then splash water on it, then touch it with a branch. Finally it jumps on it. "", ""importance"": ""3"", ""time"": 225557, ""tag"": ""prac_segB_desc""}","description"
"111","1018",1714399083936,"8","4","practice","1","2",12,33,"The two buffalos keep on discussing if the thing they see in the water is or isn't a crocodille. The buffalo on the left trows a store and the thing doesn't move, then they poke the thing with a stick and no movements at all. So the buffalo decides to jump on top of the thing that lays it the water.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two buffalos keep on discussing if the thing they see in the water is or isn't a crocodille. The buffalo on the left trows a store and the thing doesn't move, then they poke the thing with a stick and no movements at all. So the buffalo decides to jump on top of the thing that lays it the water."", ""importance"": ""6"", ""time"": 106339, ""tag"": ""prac_segB_desc""}","description"
"119","1019",1701966055730,"8","5","practice","1","2",12,33,"one of the cow got on the substance seen in water",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""one of the cow got on the substance seen in water"", ""importance"": ""6"", ""time"": 77433, ""tag"": ""prac_segB_desc""}","description"
"127","1021",1701964226573,"8","3","practice","1","2",12,33,"There are two cows with long horns. They can both see something in the nearby water. One cow thinks what they can see is a log. One cow things what they can see is an alligator. As a viewer its hard to see which is right. At first they poke the mystery think. Then one of the cows jumps on the mystery thing in the water.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""There are two cows with long horns. They can both see something in the nearby water. One cow thinks what they can see is a log. One cow things what they can see is an alligator. As a viewer its hard to see which is right. At first they poke the mystery think. Then one of the cows jumps on the mystery thing in the water."", ""importance"": ""5"", ""time"": 84236, ""tag"": ""prac_segB_desc""}","description"
"135","1022",1712589576084,"8","5","practice","1","2",12,33,"2 cows on the side of the river bank looking at something in the water. The one cow believed that the object in the water is a crocodile, the other believes it is a log. They both exchange several times their thoughts on the item. The cow that believes it is a crocodile lifts a stone and throws it at the object. Nothing happens, so they then splash water at it, again nothing happens. They then leap from the side of the water on to the object in the water.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""2 cows on the side of the river bank looking at something in the water. The one cow believed that the object in the water is a crocodile, the other believes it is a log. They both exchange several times their thoughts on the item. The cow that believes it is a crocodile lifts a stone and throws it at the object. Nothing happens, so they then splash water at it, again nothing happens. They then leap from the side of the water on to the object in the water."", ""importance"": ""5"", ""time"": 114635, ""tag"": ""prac_segB_desc""}","description"
"143","1023",1712758843014,"8","5","practice","1","2",12,33,"The two animated mooses continue to discuss in animal talk as to whether the thing they see in the pond is a crocodile or a plank of wood, one of the moose, prods at the floating object with a stick and then proceeds to leap onto the back of the unknown item in the pond to further investigate which of the two it might be?",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two animated mooses continue to discuss in animal talk as to whether the thing they see in the pond is a crocodile or a plank of wood, one of the moose, prods at the floating object with a stick and then proceeds to leap onto the back of the unknown item in the pond to further investigate which of the two it might be?"", ""importance"": ""6"", ""time"": 115121, ""tag"": ""prac_segB_desc""}","description"
"151","1024",1712070113649,"8","5","practice","1","2",12,33,"The two ox are standing on the bank of the river, continuing to argue about the object floating in front of them. The argument intensifies. The ox that thinks it is an alligator attempts to agitate it to prove his point. First, he throws a rock, then a stick. The object does not move other mildly wave with the water, so he leaps on top of it!",2,2,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two ox are standing on the bank of the river, continuing to argue about the object floating in front of them. The argument intensifies. The ox that thinks it is an alligator attempts to agitate it to prove his point. First, he throws a rock, then a stick. The object does not move other mildly wave with the water, so he leaps on top of it!"", ""importance"": ""2"", ""time"": 92540, ""tag"": ""prac_segB_desc""}","description"
"159","1025",1712152564461,"8","2","practice","1","2",12,33,"There are two animals, moose, and see an object in the water. One thinks it's a log and the other thinks it's a crocodile. They begin poking it with a stick and throwing stones at it to see if it is alive. Then one jumps on top of it.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""There are two animals, moose, and see an object in the water. One thinks it's a log and the other thinks it's a crocodile. They begin poking it with a stick and throwing stones at it to see if it is alive. Then one jumps on top of it."", ""importance"": ""6"", ""time"": 53717, ""tag"": ""prac_segB_desc""}","description"
"168","1026",1712073720308,"8","5","practice","1","2",12,33,"Two gnus are at the edge of a creek having an argument over whether the object resting on top of the water is a crocodile or a log. In an effort to prove their point one of the gnu first prods the object in the water a couple of times then jumps on top of it",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two gnus are at the edge of a creek having an argument over whether the object resting on top of the water is a crocodile or a log. In an effort to prove their point one of the gnu first prods the object in the water a couple of times then jumps on top of it"", ""importance"": ""7"", ""time"": 189148, ""tag"": ""prac_segB_desc""}","description"
"176","1027",1703167361257,"8","2","practice","1","2",12,33,"two sheeps were close to a river and were contemplating on a wood like structure that was inside the river, one said it was a crocodile and another said it was just a log of wood, the one with the opinion of it being wood then jumped on it.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""two sheeps were close to a river and were contemplating on a wood like structure that was inside the river, one said it was a crocodile and another said it was just a log of wood, the one with the opinion of it being wood then jumped on it."", ""importance"": ""7"", ""time"": 102117, ""tag"": ""prac_segB_desc""}","description"
"185","1028",1712152670474,"8","5","practice","1","2",12,33,"Two buffaloes are arguing whether or not there is an alligator in the water.  One believes it is an alligator, while the other thinks its just a log.  The first buffalo tries to splash water on it, or poke it with a stick, but the object doesn't react.  He then decides to jump on it, to see what it is.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two buffaloes are arguing whether or not there is an alligator in the water.  One believes it is an alligator, while the other thinks its just a log.  The first buffalo tries to splash water on it, or poke it with a stick, but the object doesn't react.  He then decides to jump on it, to see what it is."", ""importance"": ""7"", ""time"": 150720, ""tag"": ""prac_segB_desc""}","description"
"193","1029",1712152561115,"8","3","practice","1","2",12,33,"A pair of oxen were standing by a lake, perhaps they wanted to have some water. They're both in dispute about whether the strange floating object in the lake in front of them is a crocodile or a floating log. The ox that believes the object is a crocodile tests their theory by tapping at the object, hoping that it'll move (proving it to be correct). The other ox, that believes that it is a log, is stubborn and continues arguing. At one point, the ox with the crocodile-belief steps onto the foreign object.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""A pair of oxen were standing by a lake, perhaps they wanted to have some water. They're both in dispute about whether the strange floating object in the lake in front of them is a crocodile or a floating log. The ox that believes the object is a crocodile tests their theory by tapping at the object, hoping that it'll move (proving it to be correct). The other ox, that believes that it is a log, is stubborn and continues arguing. At one point, the ox with the crocodile-belief steps onto the foreign object."", ""importance"": ""7"", ""time"": 179346, ""tag"": ""prac_segB_desc""}","description"
"201","1031",1712769276036,"8","3","practice","1","2",12,33,"Two animals are debating whether and object in the river is a log or crocodile. One thinks it is a log and one thinks it is a crocodile. One of the animals steps on it",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two animals are debating whether and object in the river is a log or crocodile. One thinks it is a log and one thinks it is a crocodile. One of the animals steps on it"", ""importance"": ""5"", ""time"": 59135, ""tag"": ""prac_segB_desc""}","description"
"209","1032",1714676011120,"8","3","practice","1","2",12,33,"The two bulls were fighting over if the thing in the water was a crocodile or a log, a the first one then jumped into the \crocolog\ to show the second one his point.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two bulls were fighting over if the thing in the water was a crocodile or a log, a the first one then jumped into the \""crocolog\"" to show the second one his point."", ""importance"": ""6"", ""time"": 82693, ""tag"": ""prac_segB_desc""}","description"
"217","1033",1715190008284,"8","2","practice","1","2",12,33,"The two taks continued to fight over whether the object in the water was a crocodile or a log. The one threw a rock at it with not response. Then he poked it with a stick and it still didn't respond. The yak just jumped on top of it, which kind of doesn't make sense since it was the yak arguing it was a crocodile. I'm pretty sure a crocodile would eat him.",3,3,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two taks continued to fight over whether the object in the water was a crocodile or a log. The one threw a rock at it with not response. Then he poked it with a stick and it still didn't respond. The yak just jumped on top of it, which kind of doesn't make sense since it was the yak arguing it was a crocodile. I'm pretty sure a crocodile would eat him."", ""importance"": ""3"", ""time"": 94811, ""tag"": ""prac_segB_desc""}","description"
"226","1034",1713887097364,"8","4","practice","1","2",12,33,"After the two animals on the river bank were deciding whether the object in the river was a log or a crocodile, one of the animals throws a stone at it. Later the same animal pokes it with a stick. Still unsure the animal kicks some water on to it. Still not sure the animal jumps on to the object.\n\n\n\nwater stick jump",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""After the two animals on the river bank were deciding whether the object in the river was a log or a crocodile, one of the animals throws a stone at it. Later the same animal pokes it with a stick. Still unsure the animal kicks some water on to it. Still not sure the animal jumps on to the object.\n\n\n\nwater stick jump"", ""importance"": ""7"", ""time"": 148921, ""tag"": ""prac_segB_desc""}","description"
"234","1036",1715016021477,"8","2","practice","1","2",12,33,"The second bull has continued to insist that it is a log, but the first bull has insisted on showing him that it is a crocodile. He threw a stone at him and jumped on him.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The second bull has continued to insist that it is a log, but the first bull has insisted on showing him that it is a crocodile. He threw a stone at him and jumped on him."", ""importance"": ""7"", ""time"": 160842, ""tag"": ""prac_segB_desc""}","description"
"243","1037",1698251548578,"8","1","practice","1","2",12,33,"Two cows are standing by a body of water. Something is protruding out of the water. One cow says to the other that it's a crocodile. The other says it's a log. Cow 1 insists it's a crocodile and throws a rock at it. The protruding element doesn't respond. He then pokes the figure with a stick. He then jumps on it and, still, nothing happens.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two cows are standing by a body of water. Something is protruding out of the water. One cow says to the other that it's a crocodile. The other says it's a log. Cow 1 insists it's a crocodile and throws a rock at it. The protruding element doesn't respond. He then pokes the figure with a stick. He then jumps on it and, still, nothing happens."", ""importance"": ""5"", ""time"": 215081, ""tag"": ""prac_segB_desc""}","description"
"252","1038",1698254472369,"8","4","practice","1","2",12,33,"A herd of animals (possibly wilderbeast) are grazing by some water. Two of the beasts are standing facing something which is partially submerged in the water immediately in front of them. The beast further away from the viewer who had previously expressed that the object was a crocodile poked it with a stick but there was no response to that. The animal then jumped onto the floating object but again there was no response. The other animal who believed the object to be a log observed throughout.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""A herd of animals (possibly wilderbeast) are grazing by some water. Two of the beasts are standing facing something which is partially submerged in the water immediately in front of them. The beast further away from the viewer who had previously expressed that the object was a crocodile poked it with a stick but there was no response to that. The animal then jumped onto the floating object but again there was no response. The other animal who believed the object to be a log observed throughout."", ""importance"": ""6"", ""time"": 419856, ""tag"": ""prac_segB_desc""}","description"
"260","1040",1698251602934,"8","5","practice","1","2",12,33,"Two buffalo are standing by the waters edge and there is an object in the water. One seems to think its a crocodile and the other disagrees and thinks its a log. So the first buffalo takes a a rock and throws it at the object which remains still and continues to take a stick and pokes at the object. Lastly the buffalo climbs onto the object which by now does turn out to be a log since its not moving.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two buffalo are standing by the waters edge and there is an object in the water. One seems to think its a crocodile and the other disagrees and thinks its a log. So the first buffalo takes a a rock and throws it at the object which remains still and continues to take a stick and pokes at the object. Lastly the buffalo climbs onto the object which by now does turn out to be a log since its not moving."", ""importance"": ""6"", ""time"": 268913, ""tag"": ""prac_segB_desc""}","description"
"268","1041",1698251756501,"8","4","practice","1","2",12,33,"One of the buffalo said that the thing in the water is a croc, the other said that its a log. The other buffalo throws a rock at the object, nothing happends. He them pokes a stick at the object in the water. The other buffalo is still thinking its a log. The buffalo who thinks its a croc then jumps on it.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""One of the buffalo said that the thing in the water is a croc, the other said that its a log. The other buffalo throws a rock at the object, nothing happends. He them pokes a stick at the object in the water. The other buffalo is still thinking its a log. The buffalo who thinks its a croc then jumps on it."", ""importance"": ""5"", ""time"": 152530, ""tag"": ""prac_segB_desc""}","description"
"276","1042",1701964389048,"8","1","practice","1","2",12,33,"The wildebeest who thought it was a crocodile threw a stone at it.  Nothing happened.  The other wildebeest said it was a log.  The wildebeest who thought it was a crocodile poked it with a stick.  Nothing happened.  The other wildebeest said it was a log.  The wildebeest who thought it was a crocodile jumped on it with his front feet.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The wildebeest who thought it was a crocodile threw a stone at it.  Nothing happened.  The other wildebeest said it was a log.  The wildebeest who thought it was a crocodile poked it with a stick.  Nothing happened.  The other wildebeest said it was a log.  The wildebeest who thought it was a crocodile jumped on it with his front feet."", ""importance"": ""6"", ""time"": 117936, ""tag"": ""prac_segB_desc""}","description"
"285","1043",1702481082044,"8","3","practice","1","2",12,33,"Two Animals(bulls) had a disagreement. the other one was saying its just a wood and the other one was saying it a crocodile so to check they throw some stones and used a stick to find out but the object was not moving, so the other bull jump onto this wood. ",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two Animals(bulls) had a disagreement. the other one was saying its just a wood and the other one was saying it a crocodile so to check they throw some stones and used a stick to find out but the object was not moving, so the other bull jump onto this wood. "", ""importance"": ""5"", ""time"": 158948, ""tag"": ""prac_segB_desc""}","description"
